8 56
0 3 4
6 3 1
1 5 4
2 6 2
7 4 1
0 4 3
3 5 2
4 0 3
4 6 2
3 4 3
6 0 4
5 3 2
4 5 1
5 0 4
7 0 2
5 7 2
1 0 1
4 3 3
6 1 3
3 0 4
3 7 4
2 0 4
3 2 1
5 6 1
6 7 3
1 4 4
0 1 1
2 7 3
1 6 3
0 2 4
3 1 3
7 1 3
6 4 2
0 6 4
2 5 1
4 1 4
4 2 2
6 5 1
5 2 1
2 4 2
7 3 4
5 4 1
1 2 4
3 6 1
0 5 4
4 7 1
1 7 3
2 1 4
5 1 4
6 2 2
7 6 3
1 3 3
7 5 2
0 7 2
7 2 3
2 3 1
